tag	root	morphophonemics	features	is_compound
VB-HN-HR-T	alçal	~	~	FALSE
VB-HN-HR-T	ayıl	~	~	FALSE
VB-HN-HR-T	azal	~	~	FALSE
VB-HN-HR-T	belirle	~	~	FALSE
VB-HN-HR-T	boşal	~	~	FALSE
VB-HN-HR-T	bunal	~	~	FALSE
VB-HN-HR-T	çoğal	~	~	FALSE
VB-HN-HR-T	çökel	~	~	FALSE
VB-HN-HR-T	çömel	~	~	FALSE
VB-HN-HR-T	dağıl	~	~	FALSE
VB-HN-HR-T	daral	~	~	FALSE
VB-HN-HR-T	darıl	~	~	FALSE
VB-HN-HR-T	dikel	~	~	FALSE
VB-HN-HR-T	dincel	~	~	FALSE
VB-HN-HR-T	dinel	~	~	FALSE
VB-HN-HR-T	diril	~	~	FALSE
VB-HN-HR-T	doğrul	~	~	FALSE
VB-HN-HR-T	domal	~	~	FALSE
VB-HN-HR-T	dönel	~	~	FALSE
VB-HN-HR-T	durul	~	~	FALSE
VB-HN-HR-T	düzel	~	~	FALSE
VB-HN-HR-T	eksil	~	~	FALSE
VB-HN-HR-T	gencel	~	~	FALSE
VB-HN-HR-T	irkil	~	~	FALSE
VB-HN-HR-T	kaykıl	~	~	FALSE
VB-HN-HR-T	kısal	~	~	FALSE
VB-HN-HR-T	körel	~	~	FALSE
VB-HN-HR-T	küçül	~	~	FALSE
VB-HN-HR-T	kurtul	~	~	FALSE
VB-HN-HR-T	sağal	~	~	FALSE
VB-HN-HR-T	savul	~	~	FALSE
VB-HN-HR-T	şenel	~	~	FALSE
VB-HN-HR-T	sertel	~	~	FALSE
VB-HN-HR-T	seyrel	~	~	FALSE
VB-HN-HR-T	sivril	~	~	FALSE
VB-HN-HR-T	soğul	~	~	FALSE
VB-HN-HR-T	tümsel	~	~	FALSE
VB-HN-HR-T	ufal	~	~	FALSE
VB-HN-HR-T	yamal	~	~	FALSE
VB-HN-HR-T	yamrul	~	~	FALSE
VB-HN-HR-T	yamul	~	~	FALSE
VB-HN-HR-T	yanıl	~	~	FALSE
VB-HN-HR-T	yönel	~	~	FALSE
VB-HN-HR-T	yücel	~	~	FALSE
VB-HN-HR-T	yüksel	~	~	FALSE
VB-HN-HR-T	yumrul	~	~	FALSE
